mod_id,mod_mrc_id,model,trim,body,mod_trm_id
382,37,Forenza,Base,Sedan,1
383,2,Sorento,EX,SUV,1
384,3,SL-Class,SL55 AMG,Convertible,1
385,13,7 Series,740iL,Sedan,1
386,23,Legacy,2.5i Premium PZEV,Sedan,1
387,23,Impreza,2.0i Premium PZEV,Sedan,1
388,38,TL,Base,Sedan,1
389,18,A8,L 4.2 quattro,Sedan,1
390,9,Sprinter Cargo,2500 144 WB,Van,1
391,13,3 Series,325i,Sedan,1
392,13,X3,2.5i,SUV,1
393,4,Pilot,EX,SUV,1
394,5,F-150,XLT,SuperCab,2
395,10,4Runner,SR5,SUV,1
396,26,MKZ,Base,Sedan,1
397,24,RX 450h,Base,SUV,1
398,27,CX-9,Sport,SUV,1
399,5,F-150,XLT,SuperCab,1
400,6,Elantra,Limited,Sedan,1
401,12,Pathfinder,SL,SUV,1
402,12,Rogue,SL,SUV,1
403,18,A6,3.2 quattro,Sedan,1
404,17,QX60,Base,SUV,1
405,11,Passat,Wolfsburg Edition PZEV,Sedan,1
406,29,S60,T5 Drive-E,Sedan,1
407,13,3 Series,335i,Sedan,1
408,21,Commander,Sport,SUV,1
409,21,Wrangler,Unlimited Sahara,SUV,2
410,34,Range Rover Sport,Supercharged,SUV,1
411,4,CR-V,EX,SUV,1
412,24,IS 250,Base,Sedan,1
413,22,Outlook,XR,SUV,1
414,21,Wrangler,Unlimited Sport,SUV,1
415,35,Panamera,4,Sedan,1
416,1,Sonic,LTZ,Hatchback,1
417,12,Quest,3.5 SE,Minivan,1
418,39,Cooper,Base,Hatchback,1
419,3,SL-Class,SL550,Convertible,1
420,13,X5,xDrive48i,SUV,1
421,5,F-150,King Ranch,SuperCrew,1
422,12,Maxima,3.5 SE,Sedan,1
423,13,7 Series,750Li,Sedan,1
424,9,Charger,SXT,Sedan,1
425,24,LX 470,Base,SUV,1
426,1,Sonic,LT,Sedan,1
427,21,Cherokee,Trailhawk,SUV,1
428,31,1500,SLT,Quad Cab,1
429,3,C-Class,C300 Luxury 4MATIC,Sedan,1
430,12,Sentra,2.0 SR,Sedan,1
431,13,1 Series,128i,Convertible,1
432,17,G35,Base,Sedan,1
433,12,Xterra,S,SUV,1
434,6,Veloster,Base,Hatchback,1
435,7,Sebring,Touring,Convertible,1
436,5,Transit Connect,Wagon XLT LWB,Minivan,1
437,37,XL7,Luxury,SUV,1
438,29,XC90,V8,SUV,1
439,17,G Convertible,G37,G Convertible,1
440,5,F-350 Super Duty,XLT,Crew Cab,1
441,2,Sedona,EX,Minivan,1
442,1,Avalanche,LT,Crew Cab,1
443,1,HHR,LT,Wagon,1
444,18,R8,5.2 quattro,Coupe,1
445,13,5 Series,530xi,Sedan,1
446,10,Yaris,S,Sedan,1
447,7,PT Cruiser,Base,Wagon,2
448,5,Mustang,Standard,Coupe,1
449,5,Mustang,V6,Coupe,2
450,8,tC,Base,Hatchback,1
451,10,Camry Hybrid,LE,Sedan,1
452,10,RAV4,Limited,SUV,1
453,1,Camaro,LS,Coupe,2
454,16,CTS,Base,Sedan,1
455,1,Uplander,LS,Minivan,1
456,10,Tundra,SR5,Double Cab,1
457,9,Charger,SE,Sedan,1
458,20,XK,XKR,Coupe,1
459,2,Soul,Base,Wagon,1
460,13,7 Series,750Li xDrive,Sedan,1
461,27,Mazda6,i Touring,Sedan,1
462,3,S-Class,S350 BlueTEC 4MATIC,Sedan,1
463,35,Cayenne,S,SUV,1
464,30,fortwo,passion coupe,Hatchback,1
465,12,Altima,3.5 SL,Sedan,1
466,12,Murano,S,SUV,1
467,13,3 Series,325xi,Sedan,1
468,10,Camry,LE,sedan,1
469,3,E-Class,E350 Sport BlueTEC,Sedan,1
470,10,Highlander Hybrid,Base,SUV,1
471,5,F-150,FX2,SuperCrew,1
472,1,Corvette Stingray,Base,Coupe,1
473,29,XC90,3.2,SUV,1
474,9,Caliber,SXT,Wagon,1
475,31,1500,Tradesman,Crew Cab,1
476,1,Sonic,LT,Hatchback,2
477,7,200,S,Sedan,1
478,3,E-Class,E350 4MATIC,Sedan,1
479,1,Equinox,LS,SUV,1
480,5,Focus,Electric,Hatchback,1
481,17,QX80,Base,SUV,1
482,21,Liberty,Renegade,SUV,1
483,2,Optima,EX Hybrid,Sedan,1
484,1,Camaro,1LT,Coupe,2
485,9,Grand Caravan,EX,Minivan,1
486,38,RDX,Technology Package,SUV,1
487,5,F-150,SVT Raptor,SuperCrew,1
488,1,Camaro,LS,Coupe,1
489,6,Santa Fe,SE,SUV,1
490,39,Cooper,Base,Hatchback,2
491,14,Century,Base,Sedan,1
492,15,Outlander,SE,SUV,1
493,5,Expedition,Limited,SUV,1
494,6,Sonata,Limited,Sedan,1
495,2,Optima,EX,Sedan,1
496,12,Juke,SL,Hatchback,1
497,6,Tucson,Limited,SUV,1
498,1,Express,LS 3500,Van,1
499,8,xB,Base,Wagon,2
500,12,Rogue Select,S,SUV,1
501,16,Escalade ESV,Luxury,SUV,1
502,13,5 Series,550i xDrive,Sedan,1
503,32,9-3,2.0T,Convertible,2
504,17,M,M37,Sedan,1
505,13,M5,Base,Sedan,1
506,10,Prius c,Two,Hatchback,1
507,21,Liberty,Sport,SUV,1
508,40,Sable,LS Premium,Sedan,1
509,16,XTS,Premium,Sedan,1
510,1,Monte Carlo,LS,Coupe,1
511,5,Focus,S,Sedan,1
512,19,Terrain,SLT-2,SUV,1
513,6,Elantra,GLS,Sedan,2
514,6,Accent,GS,Hatchback,1
515,41,Alero,GL1,Sedan,1
516,40,Grand Marquis,LS Premium,Sedan,1
517,31,2500,SLT,Crew Cab,1
518,16,CTS,Performance,Sedan,1
519,39,Cooper Clubman,Base,Hatchback,1
520,13,X5,xDrive35i Premium,SUV,1
521,10,Camry Hybrid,Base,Sedan,1
522,3,GLK-Class,GLK350 4MATIC,SUV,1
523,11,Touareg,V6 Executive,SUV,1
524,12,Altima,3.5 SR,Sedan,1
525,15,Montero Sport,ES,SUV,1
526,12,Leaf,S,Hatchback,1
527,10,Yaris,LE,Hatchback,1
528,27,Mazda3,i Touring,Sedan,1
529,6,Genesis,4.6,Sedan,1
530,26,Zephyr,Base,Sedan,1
531,3,C-Class,C350,Coupe,1
532,33,500,Abarth,Hatchback,2
533,10,Sienna,Limited 7-Passenger,Minivan,1
534,1,Traverse,LS,SUV,1
535,39,Cooper,S,Hatchback,1
536,40,Montego,Premier,Sedan,1
537,1,Equinox,LT1,SUV,1
538,7,200,C,Sedan,1
539,18,S5,Premium Plus quattro,Coupe,1
540,3,S-Class,S63 AMG,Sedan,1
541,11,Tiguan,SE,SUV,1
542,4,Accord,EX V-6,Coupe,1
543,35,Boxster,Base,Convertible,1
544,17,Q70,Base,Sedan,1
545,3,C-Class,C350 4MATIC,Coupe,1
546,27,Mazda6,i Grand Touring,Sedan,1
547,24,CT 200h,Base,Hatchback,1
548,10,Prius,Two,Hatchback,1
549,17,QX56,Base,SUV,1
550,7,Town and Country,LX,Minivan,1
551,6,Sonata Hybrid,Limited,Sedan,1
552,11,Passat,Lux,Sedan,1
553,1,malibu,ls,sedan,1
554,19,Envoy,SLE,SUV,1
555,11,Beetle,2.5L PZEV,Hatchback,2
556,17,M37,x,Sedan,1
557,19,Yukon XL,SLT,SUV,1
558,30,fortwo,pure coupe,Hatchback,1
559,35,Panamera,4S,Sedan,1
560,4,Accord,Hybrid,Sedan,1
561,12,Altima,2.5,sedan,1
562,40,Sable,GS,Sedan,1
563,9,Dart,SXT,Sedan,2
564,14,LaCrosse,Premium I Group,Sedan,1
565,18,A4,2.0T Avant quattro,Wagon,1
566,5,F-150,XL,Regular Cab,2
567,1,Monte Carlo,LT,Coupe,1
568,38,MDX,Touring,SUV,1
569,7,Town and Country,Touring-L,Minivan,1
570,12,Quest,S,Minivan,1
571,9,Charger,Base,Sedan,1
572,12,Frontier,SE,Crew Cab,1
573,25,G6,GT,Convertible,1
574,34,Range Rover Sport,HSE,SUV,1
